Name,Rating
Lone Survivor, 3
Apollo 18, 1
Friends With Benefits, 2
Star Wars Episode IV: A New Hope, 3
Star Wars Episode V: The Empire Strikes Back, 3
Star Wars Episode VI: Return Of The Jedi, 3
Love Actually, 3
Star Wars Episode VII: The Force Awakens, 3
The Walk, 3
Everest, 3
Friend Request, 2
Captain Phillips, 3
17 Again, 2
Neighbors 2, 2
Diary of a Wimpy Kid, 3
She's The Man, 3
XOXO, 3
The Breakfast Club, 2
Silent Hill, 1
The Martian, 3
Don't Breathe, 3
Sausage Party, 3
Mike and Dave Need Wedding Dates, 2
Legally Blonde, 4
The Terminal, 4
Jack Frost, 1
Jingle All The Way, 5
Harry Potter and the Philosopher's Stone, 4
Harry Potter and the Chamber of Secrets, 5
Harry Potter and the Prisoner of Azkaban, 2
Harry Potter and the Goblet of Fire, 5
Harry Potter and the Order of the Phoenix, 2
Harry Potter and the Half Blood Prince, 2
Harry Potter and the Deathly Hallows Pt.1, 2
Harry Potter and the Deathly Hallows Pt.2, 2
La La Land, 5
Lion, 5
Daddy's Home, 1
Why Him?, 3
Arrival, 2
Hacksaw Ridge, 5
10 Cloverfield Lane, 5
Kong: Skull Island, 2
The Cabin In The Woods, 2
Bad Moms, 1
Passengers, 5
Wanted, 2
Deepwater Horizon, 3
The Others, 4
Ex Machina, 4
Sully, 3
Remember The Titans, 3
Unbroken, 5
Get Out, 3
Whiplash, 2
Gone Girl, 3
The Beach, 6
Ocean's Eleven, 3
The Bourne Supremacy, 2
Baywatch, 1
Star Wars Episode VIII: Rogue One, 2
Ferris Bueller's Day Off, 2
Beauty and the Beast (2017), 2
The Girl On The Train, 3
Life, 1
12 Feet Deep, 2
Speed, 3
The Road, 4
Signs, 2
Dunkirk, 1
The Truman Show, 5
T2 Trainspotting, 3
The Blind Side, 3
The Shining, 3
The Road Within, 3
Into The Wild, 4
United 93, 3
IT, 2
Alien: Covenant, 4
Little Fockers, 2
Forrest Gump, 3
Baby Driver, 2
Dude Where's My Car, 1
The 40 Year Old Virgin, 3
Big, 2
Breakdown, 3
Airplane 2, 2
The Naked Gun, 2
Billy Elliot, 3
Legend, 3
The Big Short, 3
Bad Boys, 2
Ocean's Twelve, 3
Ocean's Thirteen, 3
Taken 2, 3
Taken 3, 2
Click, 3
The Magnificent Seven, 2
8 Mile, 4
The Big Sick, 3
The House, 2
The Matrix, 2
